Codigo,Area,Quartos,Banheiros,Suites,Vagas,Condominio,Endereco,IPTU,Titulo,Preco
308,95m2,3,2,1,2,600,"Praça Miguel Chiquiloff, 41",175,apartamento para alugar no sion,R$ 1.500
310,40m2,1,1,1,1,334,"Avenida Raja Gabaglia, 1583",115,apartamento para alugar no luxemburgo,R$ 1.400
316,196m2,4,3,1,3,2.160,"Rua Joaquim Lustosa, 53",399,apartamento para alugar no anchieta,R$ 3.500
318,79m2,2,1,0,2,744,"Rua Boturobi, 331",150,apartamento para alugar no jardim america,R$ 1.000
319,100m2,3,2,1,2,664,"Rua Montes Claros, 347",234,apartamento para alugar no sion,R$ 2.200
322,75m2,2,1,0,1,385,"Rua Teixeira De Freitas, 336",124,apartamento para alugar no santo antonio,R$ 1.500
326,27m2,1,1,1,0,120,"Rua Juiz Costa Val, 345",N/D,apartamento para alugar no santa efigenia,R$ 980
328,27m2,1,1,1,0,120,"Rua Juiz Costa Val, 345",N/D,apartamento para alugar no santa efigenia,R$ 980
329,27m2,1,1,1,0,120,"Rua Juiz Costa Val, 345",N/D,apartamento para alugar no santa efigenia,R$ 980
330,40m2,1,1,0,1,1.300,"Rua Levindo Lopes, 231",N/D,apartamento para alugar no funcionarios,R$ 1.100
331,75m2,2,2,1,1,150,"Rua São Felipe, 32",30,apartamento para alugar no sagrada familia,R$ 1.000
332,20m2,1,1,1,0,120,"Rua Juiz Costa Val, 345",N/D,apartamento para alugar no santa efigenia,R$ 880
333,20m2,1,1,1,0,120,"Rua Juiz Costa Val, 345",N/D,apartamento para alugar no santa efigenia,R$ 880
334,20m2,1,1,1,0,120,"Rua Juiz Costa Val, 345",N/D,apartamento para alugar no santa efigenia,R$ 880
338,70m2,2,1,0,1,400,"Rua Professor Aníbal Mattos, 290",105,apartamento para alugar no santo antonio,R$ 900
343,95m2,3,2,1,2,761,"Rua Minas Novas, 84",182,apartamento para alugar no cruzeiro,R$ 2.000
344,100m2,3,3,1,2,800,"Rua Luz, 95",380,apartamento para alugar no serra,R$ 2.200
346,100m2,3,2,1,1,300,"Rua São João Do Paraíso, 117",137,apartamento para alugar no sion,R$ 2.200
349,40m2,1,1,1,1,1.100,"Rua Ministro Orozimbo Nonato, 488",280,apartamento para alugar no vila da serra,R$ 1.450
350,70m2,2,1,0,1,600,"Rua Deputado Bernardino De Sena Figueiredo, 945",111,apartamento para alugar no cidade nova,R$ 1.200
351,86m2,3,2,1,2,400,"Rodovia Mg030, 2115",28,apartamento para alugar no vila da serra,R$ 2.200
353,90m2,3,2,1,1,270,"Rua Bogotá, 255",83,apartamento para alugar no jardim america,R$ 1.200
354,90m2,3,2,1,2,504,"Rua Professor Aníbal Mattos, 184",159,apartamento para alugar no santo antonio,R$ 1.500
355,95m2,3,2,1,2,504,"Rua Professor Aníbal Mattos, 184",160,apartamento para alugar no santo antonio,R$ 1.500
356,180m2,4,2,1,3,1.200,"Rua Centauro, 461",N/D,apartamento para alugar no santa lucia,R$ 1.500
